"Ticket","Division"
"19018099999900475021","DEPORTE ACUATICO"
"19018099999900475863","DEPORTE ACUATICO"
"19018099999900493944","DEPORTE ACUATICO"
"19018099999900521299","DEPORTE ACUATICO"
"19018099999900483416","DEPORTE ACUATICO"
"19018099999900531843","DEPORTE ACUATICO"
"19018099999900490809","DEPORTE ACUATICO"
"19018099999900494490","DEPORTE ACUATICO"
"19018099999900503642","DEPORTE ACUATICO"
"19018099999900486977","DEPORTE ACUATICO"
"19018099999900491390","DEPORTE ACUATICO"
"19018099999900495877","DEPORTE ACUATICO"
"19018099999900534074","DEPORTE ACUATICO"
"19018099999900483954","DEPORTE ACUATICO"
"19018099999900486979","DEPORTE ACUATICO"
"19018099999900517022","DEPORTE ACUATICO"
"19018099999900508882","DEPORTE ACUATICO"
"19018099999900514646","DEPORTE ACUATICO"
"19018099999900533840","DEPORTE ACUATICO"
"19018099999900498184","DEPORTE ACUATICO"
"19018099999900501291","DEPORTE ACUATICO"
"19018099999900532952","DEPORTE ACUATICO"
"19018099999900517135","DEPORTE ACUATICO"
"19018099999900496821","DEPORTE ACUATICO"
"19018099999900494496","DEPORTE ACUATICO"
"19018099999900509946","DEPORTE ACUATICO"
"19018099999900532079","DEPORTE ACUATICO"
"19018099999900525253","DEPORTE ACUATICO"
"19018099999900480631","DEPORTE ACUATICO"
"19018099999900480284","DEPORTE ACUATICO"
"19018099999900516373","DEPORTE ACUATICO"
"19018099999900535502","DEPORTE ACUATICO"
"19018099999900489161","DEPORTE ACUATICO"
"19018099999900494514","DEPORTE ACUATICO"
"19018099999900518065","DEPORTE ACUATICO"
"19018099999900476948","DEPORTE ACUATICO"
"19018099999900501706","DEPORTE ACUATICO"
"19018099999900497800","DEPORTE ACUATICO"
"19018099999900499931","DEPORTE ACUATICO"
"19018099999900501824","DEPORTE ACUATICO"
"19018099999900489646","DEPORTE ACUATICO"
"19018099999900511274","DEPORTE ACUATICO"
"19018099999900517275","DEPORTE ACUATICO"
"19018099999900508508","DEPORTE ACUATICO"
"19018099999900473536","DEPORTE ACUATICO"
"19018099999900504746","DEPORTE ACUATICO"
"19018099999900509749","DEPORTE ACUATICO"
"19018099999900495871","DEPORTE ACUATICO"
"19018099999900487049","DEPORTE ACUATICO"
"19018099999900522342","DEPORTE ACUATICO"
"19018099999900479805","DEPORTE ACUATICO"
"19018099999900497520","DEPORTE ACUATICO"
"19018099999900526404","DEPORTE ACUATICO"
"19018099999900514334","DEPORTE ACUATICO"
"19018099999900515498","DEPORTE ACUATICO"
"19018099999900484871","DEPORTE ACUATICO"
"19018099999900484271","DEPORTE ACUATICO"
"19018099999900489142","DEPORTE ACUATICO"
"19018099999900494088","DEPORTE ACUATICO"
"19018099999900524093","DEPORTE ACUATICO"
"19018099999900475283","DEPORTE ACUATICO"
"19018099999900492350","DEPORTE ACUATICO"
"19018099999900481617","DEPORTE ACUATICO"
"19018099999900478407","DEPORTE ACUATICO"
"19018099999900520708","DEPORTE ACUATICO"
"19018099999900519641","DEPORTE ACUATICO"
"19018099999900508930","DEPORTE ACUATICO"
"19018099999900525253","DEPORTE ACUATICO"
"19018099999900493703","DEPORTE ACUATICO"
"19018099999900505963","DEPORTE ACUATICO"
"19018099999900513889","DEPORTE ACUATICO"
"19018099999900516373","DEPORTE ACUATICO"
"19018099999900519542","DEPORTE ACUATICO"
"19018099999900485857","DEPORTE ACUATICO"
"19018099999900508186","DEPORTE ACUATICO"
"19018099999900501706","DEPORTE ACUATICO"
"19018099999900529738","DEPORTE ACUATICO"
"19018099999900486977","DEPORTE ACUATICO"
"19018099999900474113","DEPORTE ACUATICO"
"19018099999900486975","DEPORTE ACUATICO"
"19018099999900474855","DEPORTE ACUATICO"
"19018099999900479688","DEPORTE ACUATICO"
"19018099999900486427","DEPORTE ACUATICO"
"19018099999900494088","DEPORTE ACUATICO"
"19018099999900499458","DEPORTE ACUATICO"
"19018099999900524410","DEPORTE ACUATICO"
"19018099999900485333","DEPORTE ACUATICO"
"19018099999900516423","DEPORTE ACUATICO"
"19018099999900498751","DEPORTE ACUATICO"
"19018099999900518997","DEPORTE ACUATICO"
"19018099999900476120","DEPORTE ACUATICO"
"19018099999900478806","DEPORTE ACUATICO"
"19018099999900487693","DEPORTE ACUATICO"
"19018099999900491857","DEPORTE ACUATICO"
"19018099999900494245","DEPORTE ACUATICO"
"19018099999900490591","DEPORTE ACUATICO"
"19018099999900496670","DEPORTE ACUATICO"
"19018099999900485543","DEPORTE ACUATICO"
"19018099999900495196","DEPORTE ACUATICO"
"19018099999900507039","DEPORTE ACUATICO"
"19018099999900515786","DEPORTE ACUATICO"
"19018099999900535496","DEPORTE ACUATICO"
"19018099999900482511","DEPORTE ACUATICO"
"19018099999900484854","DEPORTE ACUATICO"
"19018099999900516225","DEPORTE ACUATICO"
"19018099999900510759","DEPORTE ACUATICO"
"19018099999900496257","DEPORTE ACUATICO"
"19018099999900486488","DEPORTE ACUATICO"
"19018099999900529950","DEPORTE ACUATICO"
"19018099999900499782","DEPORTE ACUATICO"
"19018099999900510808","DEPORTE ACUATICO"
"19018099999900474167","DEPORTE ACUATICO"
"19018099999900511967","DEPORTE ACUATICO"
"19018099999900486819","DEPORTE ACUATICO"
"19018099999900525819","DEPORTE ACUATICO"
"19018099999900473981","DEPORTE ACUATICO"
"19018099999900487049","DEPORTE ACUATICO"
"19018099999900510371","DEPORTE ACUATICO"
"19018099999900480069","DEPORTE ACUATICO"
"19018099999900486671","DEPORTE ACUATICO"
"19018099999900499793","DEPORTE ACUATICO"
"19018099999900473662","DEPORTE ACUATICO"
"19018099999900527134","DEPORTE ACUATICO"
"19018099999900483070","DEPORTE ACUATICO"
"19018099999900481689","DEPORTE ACUATICO"
"19018099999900536708","DEPORTE ACUATICO"
"19018099999900474913","DEPORTE ACUATICO"
"19018099999900509217","DEPORTE ACUATICO"
"19018099999900476659","DEPORTE ACUATICO"
"19018099999900485831","DEPORTE ACUATICO"
"19018099999900511362","DEPORTE ACUATICO"
"19018099999900494496","DEPORTE ACUATICO"
"19018099999900486537","DEPORTE ACUATICO"
"19018099999900482701","DEPORTE ACUATICO"
"19018099999900484856","DEPORTE ACUATICO"
"19018099999900536722","DEPORTE ACUATICO"
"19018099999900533730","DEPORTE ACUATICO"
"19018099999900474820","DEPORTE ACUATICO"
"19018099999900527298","DEPORTE ACUATICO"
"19018099999900482999","DEPORTE ACUATICO"
"19018099999900499960","DEPORTE ACUATICO"
"19018099999900535593","DEPORTE ACUATICO"
"19018099999900482955","DEPORTE ACUATICO"
"19018099999900492502","DEPORTE ACUATICO"
"19018099999900506404","DEPORTE ACUATICO"
"19018099999900535224","DEPORTE ACUATICO"
"19018099999900500576","DEPORTE ACUATICO"
"19018099999900499047","DEPORTE ACUATICO"
"19018099999900477482","DEPORTE ACUATICO"
"19018099999900502810","DEPORTE ACUATICO"
"19018099999900536360","DEPORTE ACUATICO"
"19018099999900503816","DEPORTE ACUATICO"
"19018099999900533929","DEPORTE ACUATICO"
"19018099999900480976","DEPORTE ACUATICO"
"19018099999900475873","DEPORTE ACUATICO"
"19018099999900497010","DEPORTE ACUATICO"
"19018099999900474363","DEPORTE ACUATICO"
"19018099999900500727","DEPORTE ACUATICO"
"19018099999900484869","DEPORTE ACUATICO"
"19018099999900477649","DEPORTE ACUATICO"
"19018099999900501337","DEPORTE ACUATICO"
"19018099999900514496","DEPORTE ACUATICO"
"19018099999900514496","DEPORTE ACUATICO"
"19018099999900508914","DEPORTE ACUATICO"
"19018099999900534746","DEPORTE ACUATICO"
"19018099999900535602","DEPORTE ACUATICO"
"19018099999900520775","DEPORTE ACUATICO"
"19018099999900488126","DEPORTE ACUATICO"
"19018099999900482609","DEPORTE ACUATICO"
"19018099999900485178","DEPORTE ACUATICO"
"19018099999900486071","DEPORTE ACUATICO"
"19018099999900478407","DEPORTE ACUATICO"
"19018099999900488821","DEPORTE ACUATICO"
"19018099999900517801","DEPORTE ACUATICO"
"19018099999900481138","DEPORTE ACUATICO"
"19018099999900496252","DEPORTE ACUATICO"
"19018099999900477664","DEPORTE ACUATICO"
"19018099999900523566","DEPORTE ACUATICO"
"19018099999900515370","DEPORTE ACUATICO"
"19018099999900485514","DEPORTE ACUATICO"
"19018099999900509159","DEPORTE ACUATICO"
"19018099999900475300","DEPORTE ACUATICO"
"19018099999900483943","DEPORTE ACUATICO"
"19018099999900493867","DEPORTE ACUATICO"
"19018099999900486667","DEPORTE ACUATICO"
"19018099999900485206","DEPORTE ACUATICO"
"19018099999900481202","DEPORTE ACUATICO"
"19018099999900498853","DEPORTE ACUATICO"
"19018099999900499688","DEPORTE ACUATICO"
"19018099999900487085","DEPORTE ACUATICO"
"19018099999900479775","DEPORTE ACUATICO"
"19018099999900516662","DEPORTE ACUATICO"
"19018099999900474513","DEPORTE ACUATICO"
"19018099999900513316","DEPORTE ACUATICO"
"19018099999900531347","DEPORTE ACUATICO"
"19018099999900474765","DEPORTE ACUATICO"
"19018099999900483820","DEPORTE ACUATICO"
"19018099999900476248","DEPORTE ACUATICO"
"19018099999900502565","DEPORTE ACUATICO"
"19018099999900521120","DEPORTE ACUATICO"
"19018099999900502270","DEPORTE ACUATICO"
"19018099999900481766","DEPORTE ACUATICO"
"19018099999900479385","DEPORTE ACUATICO"
"19018099999900507819","DEPORTE ACUATICO"
"19018099999900478933","DEPORTE ACUATICO"
"19018099999900512979","DEPORTE ACUATICO"
"19018099999900489633","DEPORTE ACUATICO"
"19018099999900505315","DEPORTE ACUATICO"
"19018099999900480244","DEPORTE ACUATICO"
"19018099999900497466","DEPORTE ACUATICO"
"19018099999900477477","DEPORTE ACUATICO"
"19018099999900483556","DEPORTE ACUATICO"
"19018099999900513777","DEPORTE ACUATICO"
"19018099999900512947","DEPORTE ACUATICO"
"19018099999900496398","DEPORTE ACUATICO"
"19018099999900504887","DEPORTE ACUATICO"
"19018099999900510055","DEPORTE ACUATICO"
"19018099999900480968","DEPORTE ACUATICO"
"19018099999900473777","DEPORTE ACUATICO"
"19018099999900508668","DEPORTE ACUATICO"
"19018099999900514837","DEPORTE ACUATICO"
"19018099999900482099","DEPORTE ACUATICO"
"19018099999900473777","DEPORTE ACUATICO"
"19018099999900526586","DEPORTE ACUATICO"
"19018099999900473774","DEPORTE ACUATICO"
"19018099999900508639","DEPORTE ACUATICO"
"19018099999900488364","DEPORTE ACUATICO"
"19018099999900491463","DEPORTE ACUATICO"
"19018099999900531923","DEPORTE ACUATICO"
"19018099999900526883","DEPORTE ACUATICO"
"19018099999900508774","DEPORTE ACUATICO"
"19018099999900506500","DEPORTE ACUATICO"
"19018099999900482105","DEPORTE ACUATICO"
"19018099999900518388","DEPORTE ACUATICO"
"19018099999900514546","DEPORTE ACUATICO"
"19018099999900485380","DEPORTE ACUATICO"
"19018099999900533272","DEPORTE ACUATICO"
"19018099999900532952","DEPORTE ACUATICO"
"19018099999900498310","DEPORTE ACUATICO"
"19018099999900493590","DEPORTE ACUATICO"
"19018099999900482821","DEPORTE ACUATICO"
"19018099999900478979","DEPORTE ACUATICO"
"19018099999900485844","DEPORTE ACUATICO"
"19018099999900517143","DEPORTE ACUATICO"
"19018099999900496610","DEPORTE ACUATICO"
"19018099999900525253","DEPORTE ACUATICO"
"19018099999900474925","DEPORTE ACUATICO"
"19018099999900508187","DEPORTE ACUATICO"
"19018099999900505166","DEPORTE ACUATICO"
"19018099999900480928","DEPORTE ACUATICO"
"19018099999900482999","DEPORTE ACUATICO"
"19018099999900517341","DEPORTE ACUATICO"
"19018099999900486937","DEPORTE ACUATICO"
"19018099999900531400","DEPORTE ACUATICO"
"19018099999900474816","DEPORTE ACUATICO"
"19018099999900514318","DEPORTE ACUATICO"
"19018099999900488428","DEPORTE ACUATICO"
"19018099999900502938","DEPORTE ACUATICO"
"19018099999900497149","DEPORTE ACUATICO"
"19018099999900507098","DEPORTE ACUATICO"
"19018099999900492272","DEPORTE ACUATICO"
"19018099999900499054","DEPORTE ACUATICO"
"19018099999900508774","DEPORTE ACUATICO"
"19018099999900494371","DEPORTE ACUATICO"
"19018099999900502304","DEPORTE ACUATICO"
"19018099999900522795","DEPORTE ACUATICO"
"19018099999900474028","DEPORTE ACUATICO"
"19018099999900486565","DEPORTE ACUATICO"
"19018099999900499375","DEPORTE ACUATICO"
"19018099999900488836","DEPORTE ACUATICO"
"19018099999900476564","DEPORTE ACUATICO"
"19018099999900516661","DEPORTE ACUATICO"
"19018099999900499377","DEPORTE ACUATICO"
"19018099999900510741","DEPORTE ACUATICO"
"19018099999900515799","DEPORTE ACUATICO"
"19018099999900512541","DEPORTE ACUATICO"
"19018099999900522796","DEPORTE ACUATICO"
"19018099999900495148","DEPORTE ACUATICO"
"19018099999900496849","DEPORTE ACUATICO"
"19018099999900523865","DEPORTE ACUATICO"
