"Ticket","Familia"
"014900/T-2","BALERINAS"
"012769/T-2","BALERINAS"
"011270/T-2","BALERINAS"
"012725/T-2","BALERINAS"
"016716/T-2","BALERINAS"
"012706/T-2","BALERINAS"
"012706/T-2","BALERINAS"
"011219/T-2","BALERINAS"
"014821/T-2","BALERINAS"
"014797/T-2","BALERINAS"
"012650/T-2","BALERINAS"
"012603/T-2","BALERINAS"
"011118/T-2","BALERINAS"
"016599/T-2","BALERINAS"
"016595/T-2","BALERINAS"
"015329/T-2","BALERINAS"
"014711/T-2","BALERINAS"
"013870/T-2","BALERINAS"
"015827/T-2","BALERINAS"
"014618/T-2","BALERINAS"
"012440/T-2","BALERINAS"
"014600/T-2","BALERINAS"
"012358/T-2","BALERINAS"
"012335/T-2","BALERINAS"
"016336/T-2","BALERINAS"
"012988/T-2","BALERINAS"
"012251/T-2","BALERINAS"
"012245/T-2","BALERINAS"
"012214/T-2","BALERINAS"
"014406/T-2","BALERINAS"
"016263/T-2","BALERINAS"
"014380/T-2","BALERINAS"
"011421/T-2","BALERINAS"
"012115/T-2","BALERINAS"
"014312/T-2","BALERINAS"
"012096/T-2","BALERINAS"
"012035/T-2","BALERINAS"
"012031/T-2","BALERINAS"
"012025/T-2","BALERINAS"
"012012/T-2","BALERINAS"
"012703/T-2","BALERINAS"
"015989/T-2","BALERINAS"
"011903/T-2","BALERINAS"
"014069/T-2","BALERINAS"
"011856/T-2","BALERINAS"
"013957/T-2","BALERINAS"
"015863/T-2","BALERINAS"
"015846/T-2","BALERINAS"
"013886/T-2","BALERINAS"
"015828/T-2","BALERINAS"
"011676/T-2","BALERINAS"
"013835/T-2","BALERINAS"
"013823/T-2","BALERINAS"
"014579/T-2","BALERINAS"
"011647/T-2","BALERINAS"
"011643/T-2","BALERINAS"
"011642/T-2","BALERINAS"
"011635/T-2","BALERINAS"
"011624/T-2","BALERINAS"
"011601/T-2","BALERINAS"
"015141/T-2","BALERINAS"
"011568/T-2","BALERINAS"
"016350/T-2","BALERINAS"
"015120/T-2","BALERINAS"
"011536/T-2","BALERINAS"
"015677/T-2","BALERINAS"
"013678/T-2","BALERINAS"
"011492/T-2","BALERINAS"
"011478/T-2","BALERINAS"
"017364/T-2","BALERINAS"
"011453/T-2","BALERINAS"
"011438/T-2","BALERINAS"
"015610/T-2","BALERINAS"
"011366/T-2","BALERINAS"
"012062/T-2","BALERINAS"
"011322/T-2","BALERINAS"
"013417/T-2","BALERINAS"
"011258/T-2","BALERINAS"
"017142/T-2","BALERINAS"
"015422/T-2","BALERINAS"
"015420/T-2","BALERINAS"
"011228/T-2","BALERINAS"
"015409/T-2","BALERINAS"
"013358/T-2","BALERINAS"
"017116/T-2","BALERINAS"
"017109/T-2","BALERINAS"
"015396/T-2","BALERINAS"
"015353/T-2","BALERINAS"
"013278/T-2","BALERINAS"
"013266/T-2","BALERINAS"
"015325/T-2","BALERINAS"
"013218/T-2","BALERINAS"
"015230/T-2","BALERINAS"
"016934/T-2","BALERINAS"
"012358/T-2","BALERINAS"
"013069/T-2","BALERINAS"
"015148/T-2","BALERINAS"
"016839/T-2","BALERINAS"
"013038/T-2","BALERINAS"
"015061/T-2","BALERINAS"
"012939/T-2","BALERINAS"
"011458/T-2","BALERINAS"
"012174/T-2","BALERINAS"
"013580/T-2","BALERINAS"
"013548/T-2","BALERINAS"
"012852/T-2","BALERINAS"
"016814/T-2","BALERINAS"
"012839/T-2","BALERINAS"
"011345/T-2","BALERINAS"
"012765/T-2","BALERINAS"
"012000/T-2","BALERINAS"
"011266/T-2","BALERINAS"
"016716/T-2","BALERINAS"
"014850/T-2","BALERINAS"
"012687/T-2","BALERINAS"
"014132/T-2","BALERINAS"
"012680/T-2","BALERINAS"
"012654/T-2","BALERINAS"
"014789/T-2","BALERINAS"
"016648/T-2","BALERINAS"
"014771/T-2","BALERINAS"
"013296/T-2","BALERINAS"
"016633/T-2","BALERINAS"
"012624/T-2","BALERINAS"
"014760/T-2","BALERINAS"
"012622/T-2","BALERINAS"
"011119/T-2","BALERINAS"
"012589/T-2","BALERINAS"
"013242/T-2","BALERINAS"
"013983/T-2","BALERINAS"
"012547/T-2","BALERINAS"
"015872/T-2","BALERINAS"
"012523/T-2","BALERINAS"
"012512/T-2","BALERINAS"
"011740/T-2","BALERINAS"
"015784/T-2","BALERINAS"
"014588/T-2","BALERINAS"
"014571/T-2","BALERINAS"
"014571/T-2","BALERINAS"
"012382/T-2","BALERINAS"
"014569/T-2","BALERINAS"
"015177/T-2","BALERINAS"
"014531/T-2","BALERINAS"
"016370/T-2","BALERINAS"
"012343/T-2","BALERINAS"
"012317/T-2","BALERINAS"
"012299/T-2","BALERINAS"
"016331/T-2","BALERINAS"
"012201/T-2","BALERINAS"
"014372/T-2","BALERINAS"
"011420/T-2","BALERINAS"
"014278/T-2","BALERINAS"
"014250/T-2","BALERINAS"
"014234/T-2","BALERINAS"
"014215/T-2","BALERINAS"
"014151/T-2","BALERINAS"
"011951/T-2","BALERINAS"
"016010/T-2","BALERINAS"
"014091/T-2","BALERINAS"
"011893/T-2","BALERINAS"
"014081/T-2","BALERINAS"
"014062/T-2","BALERINAS"
"014034/T-2","BALERINAS"
"011831/T-2","BALERINAS"
"015826/T-2","BALERINAS"
"015805/T-2","BALERINAS"
"015795/T-2","BALERINAS"
"013822/T-2","BALERINAS"
"016443/T-2","BALERINAS"
"011641/T-2","BALERINAS"
"015757/T-2","BALERINAS"
"015755/T-2","BALERINAS"
"014547/T-2","BALERINAS"
"011575/T-2","BALERINAS"
"012289/T-2","BALERINAS"
"013709/T-2","BALERINAS"
"013010/T-2","BALERINAS"
"011506/T-2","BALERINAS"
"011497/T-2","BALERINAS"
"013663/T-2","BALERINAS"
"015661/T-2","BALERINAS"
"011478/T-2","BALERINAS"
"011475/T-2","BALERINAS"
"017350/T-2","BALERINAS"
"011421/T-2","BALERINAS"
"011407/T-2","BALERINAS"
"011394/T-2","BALERINAS"
"012855/T-2","BALERINAS"
"017242/T-2","BALERINAS"
"013498/T-2","BALERINAS"
"011354/T-2","BALERINAS"
"013484/T-2","BALERINAS"
"011340/T-2","BALERINAS"
"013464/T-2","BALERINAS"
"015491/T-2","BALERINAS"
"014897/T-2","BALERINAS"
"012719/T-2","BALERINAS"
"014842/T-2","BALERINAS"
"013379/T-2","BALERINAS"
"013369/T-2","BALERINAS"
"013362/T-2","BALERINAS"
"013339/T-2","BALERINAS"
"012667/T-2","BALERINAS"
"011186/T-2","BALERINAS"
"013326/T-2","BALERINAS"
"011172/T-2","BALERINAS"
"011154/T-2","BALERINAS"
"011148/T-2","BALERINAS"
"013295/T-2","BALERINAS"
"011144/T-2","BALERINAS"
"011141/T-2","BALERINAS"
"017008/T-2","BALERINAS"
"013213/T-2","BALERINAS"
"016976/T-2","BALERINAS"
"013202/T-2","BALERINAS"
"013201/T-2","BALERINAS"
"015229/T-2","BALERINAS"
"016906/T-2","BALERINAS"
"016897/T-2","BALERINAS"
"013117/T-2","BALERINAS"
"013110/T-2","BALERINAS"
"013102/T-2","BALERINAS"
"013100/T-2","BALERINAS"
"013091/T-2","BALERINAS"
"013067/T-2","BALERINAS"
"013064/T-2","BALERINAS"
"013041/T-2","BALERINAS"
"015120/T-2","BALERINAS"
"013020/T-2","BALERINAS"
"011542/T-2","BALERINAS"
"011531/T-2","BALERINAS"
"013002/T-2","BALERINAS"
"016311/T-2","BALERINAS"
"012973/T-2","BALERINAS"
"012960/T-2","BALERINAS"
"015046/T-2","BALERINAS"
"012926/T-2","BALERINAS"
"012892/T-2","BALERINAS"
"012870/T-2","BALERINAS"
"016770/T-2","BALERINAS"
"013419/T-2","BALERINAS"
"012712/T-2","BALERINAS"
"014822/T-2","BALERINAS"
"014773/T-2","BALERINAS"
"011876/T-2","BALERINAS"
"014770/T-2","BALERINAS"
"012552/T-2","BALERINAS"
"012543/T-2","BALERINAS"
"016556/T-2","BALERINAS"
"012527/T-2","BALERINAS"
"012514/T-2","BALERINAS"
"016521/T-2","BALERINAS"
"012473/T-2","BALERINAS"
"012469/T-2","BALERINAS"
"012451/T-2","BALERINAS"
"014614/T-2","BALERINAS"
"012438/T-2","BALERINAS"
"014602/T-2","BALERINAS"
"013835/T-2","BALERINAS"
"012412/T-2","BALERINAS"
"016444/T-2","BALERINAS"
"011643/T-2","BALERINAS"
"014563/T-2","BALERINAS"
"011607/T-2","BALERINAS"
"012352/T-2","BALERINAS"
"016370/T-2","BALERINAS"
"016307/T-2","BALERINAS"
"012246/T-2","BALERINAS"
"014433/T-2","BALERINAS"
"012237/T-2","BALERINAS"
"012231/T-2","BALERINAS"
"012199/T-2","BALERINAS"
"014386/T-2","BALERINAS"
"014377/T-2","BALERINAS"
"012165/T-2","BALERINAS"
"016250/T-2","BALERINAS"
"014366/T-2","BALERINAS"
"016241/T-2","BALERINAS"
"016819/T-2","BALERINAS"
"012084/T-2","BALERINAS"
"014279/T-2","BALERINAS"
"011326/T-2","BALERINAS"
"016074/T-2","BALERINAS"
"014173/T-2","BALERINAS"
"016057/T-2","BALERINAS"
"016025/T-2","BALERINAS"
"011929/T-2","BALERINAS"
"016018/T-2","BALERINAS"
"011189/T-2","BALERINAS"
